Console Name,Game Name_x,Original Name,Console ID,Game Name_y,rating,rating_count,similarity
PS,01 Castlevania Symphony of the Night,01 Castlevania-Symphony of the Night,7,Castlevania Symphony of the Night,92.1848203131,521,96
PS,02 Tekken 3,02 Tekken 3,7,Tekken,67.6440421768,107,71
PS,02 Tekken 3,02 Tekken 3,7,Tekken 2,77.4375322061,167,74
PS,02 Tekken 3,02 Tekken 3,7,Tekken 3,85.0766364645,465,84
PS,03 Resident Evil 3,03 Resident Evil 3,7,Resident Evil,77.3515142646,333,84
PS,03 Resident Evil 3,03 Resident Evil 3,7,Resident Evil 2,83.7853835605,419,85
PS,03 Resident Evil 3,03 Resident Evil 3,7,Resident Evil 3 Nemesis,80.1490114994,331,73
PS,03 Resident Evil 3,03 Resident Evil 3,7,Resident Evil Director s Cut,81.6911078326,37,61
PS,04 Crash Bash 1,04 Crash Bash 1,7,Crash Bash,73.5596940431,141,80
PS,05 Crash Bandicoot 2,05 Crash Bandicoot 2,7,Crash Bandicoot,81.1745944168,508,86
PS,05 Crash Bandicoot 2,05 Crash Bandicoot 2,7,Crash Bandicoot Warped,83.4819258792,390,76
PS,06 Crash Bandicoot 3,06 Crash Bandicoot 3,7,Crash Bandicoot,81.1745944168,508,86
PS,06 Crash Bandicoot 3,06 Crash Bandicoot 3,7,Crash Bandicoot Warped,83.4819258792,390,76
PS,07 Dino Crisis 2,07 Dino Crisis 2,7,Dino Crisis,77.8083702828,112,81
PS,07 Dino Crisis 2,07 Dino Crisis 2,7,Dino Crisis 2,81.6528475742,114,90
PS,07 Dino Crisis 2,07 Dino Crisis 2,7,Time Crisis 2,71.3009235595,17,69
PS,08 The Contra Adventure,08 The Contra Adventure,7,Muppet Monster Adventure,75.3368170267,5,68
PS,09 Silent Hill,09 Silent Hill,7,Silent Hill,84.5934678801,390,88
FC,8 Eyes,142 8 Eyes.nes,18,8 Eyes,54.7320923319,12,100
FC,A Boy and His Blob Trouble on Blobolonia,143 A Boy and His Blob-Trouble on Blobolonia.nes,18,A Boy and His Blob Trouble on Blobolonia,61.9129022049,18,100
MD,AAAHH    Real Monsters,305 AAAHH!!! Real Monsters.bin,29,Aaahh Real Monsters,52.5358831803,7,73
MD,ATP Tour Championship Tennis,533 ATP Tour Championship Tennis.bin,29,World Championship Soccer,49.9260548064,6,64
GBA,Ace Combat Advance,756 Ace Combat Advance.gba,24,Rayman Advance,76.0761897527,8,62
GB,Ace Striker,059 Ace Striker.gb,33,Solar Striker,47.5463906705,6,67
GB,Ace Striker,059 Ace Striker.gb,33,Urban Strike,69.2539080389,19,61
GBA,Acing Gears Advance,153 Acing Gears Advance.gba,24,Final Fantasy V Advance,84.745412357,14,62
GBA,Acing Gears Advance,153 Acing Gears Advance.gba,24,Mario Party Advance,59.3774997489,11,63
MD,Addams Family,306 Addams Family.bin,29,The Addams Family,68.789968887,14,87
MD,Addams Family Values,384 Addams Family Values.bin,29,The Addams Family,68.789968887,14,70
GBA,Advance GTA,154 Advance GTA.gba,24,Advance Wars,82.7161480897,94,70
GBA,Advance GTA,154 Advance GTA.gba,24,Sonic Advance 2,71.2460075688,46,62
GBA,Advance GTA,154 Advance GTA.gba,24,Sonic Advance 3,71.3964270319,49,62
GBA,Advance Guardian Heroes,155 Advance Guardian Heroes.gba,24,Advance Wars,82.7161480897,94,63
GBA,Advance Wars,759 Advance Wars.gba,24,Advance Wars,82.7161480897,94,100
GBA,Advance Wars 2,766 Advance Wars 2.gba,24,Advance Wars,82.7161480897,94,92
GBA,Advance Wars 2,766 Advance Wars 2.gba,24,Advance Wars 2 Black Hole Rising,85.8562731337,39,61
GBA,Advance Wars 2,766 Advance Wars 2.gba,24,Sonic Advance 2,71.2460075688,46,62
GB,Adventure Island 2,040 Adventure Island 2.gb,33,Adventure Island II Aliens in Paradise,72.0,1,61
FC,Adventures in the Magic Kingdom,145 Adventures in the Magic Kingdom.nes,18,Adventures in the Magic Kingdom,60.0415480081,6,100
FC,Adventures of Lolo 1,146 Adventures of Lolo 1.nes,18,Adventure Island,69.486326846,68,61
FC,Adventures of Lolo 1,146 Adventures of Lolo 1.nes,18,Adventure Island 2,67.7510501389,28,63
FC,Adventures of Lolo 1,146 Adventures of Lolo 1.nes,18,Adventure Island 3,61.9601941457,21,63
FC,Adventures of Lolo 1,146 Adventures of Lolo 1.nes,18,Adventures of Dino Riki,50.974541975,9,74
FC,Adventures of Lolo 1,146 Adventures of Lolo 1.nes,18,Adventures of Lolo,78.7973140136,31,95
FC,Adventures of Lolo 1,146 Adventures of Lolo 1.nes,18,Adventures of Lolo 2,78.9735518961,11,95
FC,Adventures of Lolo 1,146 Adventures of Lolo 1.nes,18,Adventures of Lolo 3,79.447720196,10,95
FC,Adventures of Lolo 1,146 Adventures of Lolo 1.nes,18,Adventures of Tom Sawyer,40.7620194376,5,73
FC,Adventures of Lolo 1,146 Adventures of Lolo 1.nes,18,The Adventures of Bayou Billy,58.4982462667,12,65
FC,Adventures of Lolo 2,147 Adventures of Lolo 2.nes,18,Adventure Island,69.486326846,68,61
FC,Adventures of Lolo 2,147 Adventures of Lolo 2.nes,18,Adventure Island 2,67.7510501389,28,68
FC,Adventures of Lolo 2,147 Adventures of Lolo 2.nes,18,Adventure Island 3,61.9601941457,21,63
FC,Adventures of Lolo 2,147 Adventures of Lolo 2.nes,18,Adventures of Dino Riki,50.974541975,9,74
FC,Adventures of Lolo 2,147 Adventures of Lolo 2.nes,18,Adventures of Lolo,78.7973140136,31,95
FC,Adventures of Lolo 2,147 Adventures of Lolo 2.nes,18,Adventures of Lolo 2,78.9735518961,11,100
FC,Adventures of Lolo 2,147 Adventures of Lolo 2.nes,18,Adventures of Lolo 3,79.447720196,10,95
FC,Adventures of Lolo 2,147 Adventures of Lolo 2.nes,18,Adventures of Tom Sawyer,40.7620194376,5,73
FC,Adventures of Lolo 2,147 Adventures of Lolo 2.nes,18,The Adventures of Bayou Billy,58.4982462667,12,65
FC,Adventures of Lolo 3,148 Adventures of Lolo 3.nes,18,Adventure Island,69.486326846,68,61
FC,Adventures of Lolo 3,148 Adventures of Lolo 3.nes,18,Adventure Island 2,67.7510501389,28,63
FC,Adventures of Lolo 3,148 Adventures of Lolo 3.nes,18,Adventure Island 3,61.9601941457,21,68
FC,Adventures of Lolo 3,148 Adventures of Lolo 3.nes,18,Adventures of Dino Riki,50.974541975,9,74
FC,Adventures of Lolo 3,148 Adventures of Lolo 3.nes,18,Adventures of Lolo,78.7973140136,31,95
FC,Adventures of Lolo 3,148 Adventures of Lolo 3.nes,18,Adventures of Lolo 2,78.9735518961,11,95
FC,Adventures of Lolo 3,148 Adventures of Lolo 3.nes,18,Adventures of Lolo 3,79.447720196,10,100
FC,Adventures of Lolo 3,148 Adventures of Lolo 3.nes,18,Adventures of Tom Sawyer,40.7620194376,5,73
FC,Adventures of Lolo 3,148 Adventures of Lolo 3.nes,18,The Adventures of Bayou Billy,58.4982462667,12,65
FC,Adventures of Rad Gravity,149 Adventures of Rad Gravity.nes,18,Adventures of Dino Riki,50.974541975,9,67
FC,Adventures of Rad Gravity,149 Adventures of Rad Gravity.nes,18,Adventures of Lolo,78.7973140136,31,65
FC,Adventures of Rad Gravity,149 Adventures of Rad Gravity.nes,18,Adventures of Lolo 2,78.9735518961,11,67
FC,Adventures of Rad Gravity,149 Adventures of Rad Gravity.nes,18,Adventures of Lolo 3,79.447720196,10,67
FC,Adventures of Rad Gravity,149 Adventures of Rad Gravity.nes,18,Adventures of Tom Sawyer,40.7620194376,5,69
