Console Name,Game Name,Original Name
,recentlist,recentlist.json
ARCADE,1942,1942.zip
ARCADE,1943,1943.zip
ARCADE,1943kai,1943kai.zip
ARCADE,1944,1944.zip
ARCADE,1945kiii,1945kiii.zip
ARCADE,19xx,19xx.zip
ARCADE,3wonders,3wonders.zip
ARCADE,64street,64street.zip
ARCADE,88games,88games.zip
ARCADE,abcop,abcop.zip
ARCADE,aburner2,aburner2.zip
ARCADE,acrobatm,acrobatm.zip
ARCADE,actfancr,actfancr.zip
ARCADE,aerofgt,aerofgt.zip
ARCADE,agallet,agallet.zip
ARCADE,agalletj,agalletj.zip
ARCADE,airass,airass.zip
ARCADE,airattck,airattck.zip
ARCADE,airbustr,airbustr.zip
ARCADE,airduel,airduel.zip
ARCADE,airwolf,airwolf.zip
ARCADE,ajax,ajax.zip
ARCADE,aliencha,aliencha.zip
ARCADE,aliens,aliens.zip
ARCADE,aliensyn,aliensyn.zip
ARCADE,aligator,aligator.zip
ARCADE,alpine,alpine.zip
ARCADE,altbeast,altbeast.zip
ARCADE,amazon,amazon.zip
ARCADE,aoh,aoh.zip
ARCADE,arabfgt,arabfgt.zip
ARCADE,arabianm,arabianm.zip
ARCADE,arbalest,arbalest.zip
ARCADE,arcade cache6,ARCADE_cache6.db
ARCADE,arcadian,arcadian.zip
ARCADE,argus,argus.zip
ARCADE,arknoid2,arknoid2.zip
ARCADE,armedf,armedf.zip
ARCADE,ashura,ashura.zip
ARCADE,aso,aso.zip
ARCADE,asterix,asterix.zip
ARCADE,astorm,astorm.zip
ARCADE,astyanax,astyanax.zip
ARCADE,asuka,asuka.zip
ARCADE,asurabld,asurabld.zip
ARCADE,asurabus,asurabus.zip
ARCADE,asylum,asylum.zip
ARCADE,avengers,avengers.zip
ARCADE,backfirt,backfirt.zip
ARCADE,baddudes,baddudes.zip
ARCADE,bakubrkr,bakubrkr.zip
ARCADE,bankp,bankp.zip
ARCADE,baraduke,baraduke.zip
ARCADE,baryon,baryon.zip
ARCADE,batman,batman.zip
