Console Name,Game Name_x,Original Name,Console ID,Game Name_y,rating,rating_count,similarity
MD,kingofmonsters2,491 King of the Monsters 2.bin,29,kingofmonsters2,79.7196117823,8,100
MD,spidermanandvenommaximumcarnage1,176 Spider-Man and Venom-Maximum Carnage.bin,29,spidermanandvenommaximumcarnage1,66.4356493506,19,100
MD,worldheroes1,529 World Heroes.bin,29,worldheroes1,60.1985467889,15,100
GBA,onimushatactics1,292 Onimusha tactics.gba,24,onimushatactics1,69.2515592516,6,100
GB,baseball2000,Faceball 2000.gb,33,baseball2000,76.0,1,100
MD,animaniacs1,027 Animaniacs.bin,29,animaniacs1,52.0962916455,26,100
MD,dukenukead1,191 Duke Nukem 3D.bin,29,dukenukead1,82.0174766568,352,100
MD,earthwormjim2,169 Earthworm Jim 2.bin,29,earthwormjim2,76.3419185453,77,100
GG,sonichedgehog1,000 Sonic the Hedgehog 1.gg,35,sonichedgehog1,79.4797238194,30,100
GBC,thesmurfsnightmare1,143 The Smurfs Nightmare.gbc,22,thesmurfsnightmare1,68.0,2,100
GBA,pyroseasonofice1,044 Spyro-Season of Ice.gba,24,pyroseasonofice1,69.3192996075,11,100
GBC,megamanxtreme2,024 Mega Man Xtreme 2.gbc,22,megamanxtreme2,66.3622598352,6,100
GB,nbajamtournamentedition1,NBA Jam Tournament Edition.gb,33,nbajamtournamentedition1,61.4686529203,14,100
FC,spacebarrier1,525 Space Harrier.nes,18,spacebarrier1,66.3488427954,28,100
MD,targetearth1,516 Target Earth.bin,29,targetearth1,59.7221361016,5,100
MD,twocrudedudes1,378 Two Crude Dudes.bin,29,twocrudedudes1,50.6414934286,5,100
MD,roadrash2,035 Road Rash II.bin,29,roadrash2,78.916034184,29,100
MD,fantasticdizzy1,480 Fantastic Dizzy.bin,29,fantasticdizzy1,89.6340031315,14,100
FC,backtofuture1,113 Back to the Future.nes,18,backtofuture1,45.2266328702,8,100
FC,swampthing1,547 Swamp Thing.nes,18,swampthing1,33.0,3,100
GB,amazingpenguin1,Amazing Penguin.gb,33,amazingpenguin1,63.0,0,100
GB,bottle2,Boxxle 2.gb,33,bottle2,64.0,0,100
GB,finalfantasylegend2,053 Final Fantasy Legend II.gb,33,finalfantasylegend2,84.7429197348,7,100
MD,mightymorphinepowerrangers1,266 Mighty Morphin Power Rangers.bin,29,mightymorphinepowerrangers1,69.7274793687,6,100
GB,paperboy2,157 Paperboy 2.gb,33,paperboy2,64.016271261,11,100
PS,tombraider2,Tomb Raider 2,7,tombraider2,80.4488657396,237,100
GBA,yoshitopsycurvy1,394 Yoshi Topsy Turvy.gba,24,yoshitopsycurvy1,60.0541606104,6,100
FC,adventuresoflolo2,147 Adventures of Lolo 2.nes,18,adventuresoflolo2,78.9735518961,11,100
FC,fireiice1,101 Fire 'n Ice.nes,18,fireiice1,79.1397849462,6,100
FC,tinytoonadventures1,051 Tiny Toon Adventures.nes,18,tinytoonadventures1,74.4930581316,47,100
MD,justiceleaguetaskforce1,348 Justice League Task Force.bin,29,justiceleaguetaskforce1,40.0486246408,7,100
FC,punchout1,467 Punch-Out!.nes,18,punchout1,80.2967719815,23,100
GB,atomicpunk1,Atomic Punk.gb,33,atomicpunk1,79.0,3,100
FC,journeytosirius1,044 Journey to Silius.nes,18,journeytosirius1,79.1468949022,16,100
FC,shadowofninja1,102 Shadow of the Ninja.nes,18,shadowofninja1,79.9714842,16,100
GG,sonichedgehog2,000 Sonic the Hedgehog 2.gg,35,sonichedgehog2,88.4125548297,23,100
FC,captainplanetandplaneteers1,131 Captain Planet and the Planeteers.nes,18,captainplanetandplaneteers1,59.8693074258,5,100
GB,bonkiadventure1,084 Bonk's Adventure.gb,33,bonkiadventure1,60.5112690755,16,100
GBA,sonichedgehoggenesis1,640 Sonic the Hedgehog Genesis.gba,24,sonichedgehoggenesis1,10.7244541222,11,100
MD,roadblasters1,107 Road Blasters.bin,29,roadblasters1,69.9125365279,6,100
GBA,castlevaniacircleofmoon1,079 Castlevania-Circle of the Moon.gba,24,castlevaniacircleofmoon1,66.4601175687,90,100
GBA,bonsai2solarboydango1,783 Boktai 2-Solar Boy Django.gba,24,bonsai2solarboydango1,68.9075246865,6,100
MD,wonderboyinmonsterworld1,224 Wonder Boy in Monster World.bin,29,wonderboyinmonsterworld1,74.7399460193,20,100
MD,forgottenworlds1,028 Forgotten Worlds.bin,29,forgottenworlds1,69.4409547,17,100
MD,rangeri1,274 Ranger-X.bin,29,rangeri1,89.3044230311,10,100
FC,mygimmick1,426 Mr. Gimmick.nes,18,mygimmick1,80.5442315129,11,100
GB,fortifiedzone1,Fortified Zone.gb,33,fortifiedzone1,66.0,1,100
GBA,stuntman1,658 Stuntman.gba,24,stuntman1,60.1691085322,9,100
FC,battlecity1,038 Battle City.nes,18,battlecity1,81.9870712947,56,100
GB,boggleplus1,Boggle Plus.gb,33,boggleplus1,57.0,0,100
GB,kungfumaster1,136 Kung-Fu Master.gb,33,kungfumaster1,61.0,3,100
MD,centuriondefenderofrome1,085 Centurion - Defender of Rome.bin,29,centuriondefenderofrome1,90.2866307162,13,100
GBC,crystals1,070 Crystalis.gbc,22,crystals1,71.2754874096,12,100
MD,shagfu1,439 Shaq Fu.bin,29,shagfu1,43.1967302022,11,100
FC,contraforce1,016 Contra Force.nes,18,contraforce1,70.4653052406,27,100
GBC,metalgearsolid1,037 Metal Gear Solid.gbc,22,metalgearsolid1,82.6947214175,17,100
NEOGEO,eighteen1,eightman.zip,80,eighteen1,52.5069842785,5,100
FC,dragonilair1,277 Dragon's Lair 1.nes,18,dragonilair1,48.8822805771,14,100
